Fidelity_BEAT_JUMP_-145931_-646 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.146, 0.060, -0.065) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_JUMP_168996_-646 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.169, 0.060, -0.065) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_LOOP_-145931_-719 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.146, 0.060, -0.072) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_LOOP_168996_-719 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.169, 0.060, -0.072) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_SYNC_-95661_1083 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.096, 0.060, 0.108) | rot=(1.571, 0.000, 0.000)
Fidelity_BEAT_SYNC_21897_1083 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.219, 0.060, 0.108) | rot=(1.571, 0.000, 0.000)
Fidelity_CH_57_31 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.057, 0.060, 0.031) | rot=(1.571, 0.000, 0.000)
Fidelity_CUE__LOOP_CALL_-1309975_1182 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.131, 0.060, 0.118) | rot=(1.571, 0.000, 0.000)
Fidelity_CUE__LOOP_CALL_1843725_1182 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(0.184, 0.060, 0.118) | rot=(1.571, 0.000, 0.000)
Fidelity_CUE_SMALL_-68332_-43 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.068, 0.060, -0.043) | rot=(1.571, 0.000, 0.000)
Fidelity_CUE_TEXT_-19664_-28215 | type=Mesh | parent=FidelitySurfaceDetails | c=0 | pos=(-0.020, 0.060, -0.028) | rot=(1.571, 0.000, 0.000)
